Data;Ora;PUN
2004-05-06;12;66,39
2004-05-06;13;66,83
2004-05-06;14;67,37
2004-05-06;15;66,59
2004-05-06;16;66,53
2004-05-06;17;66,63
2004-05-06;18;66,39
2004-05-06;19;61,95
2004-05-06;20;43,26
2004-05-06;21;54,11
2004-05-06;22;54,50
2004-05-06;23;36,96
2004-05-06;24;37,38
2004-05-07;1;27,51
2004-05-07;2;27,55
2004-05-07;3;26,24
2004-05-07;4;25,52
2004-05-07;5;26,04
2004-05-07;6;25,97
2004-05-07;7;26,62
2004-05-07;8;64,81
2004-05-07;9;65,19
2004-05-07;10;69,30
2004-05-07;11;69,31
2004-05-07;12;69,31
2004-05-07;13;69,35
2004-05-07;14;69,33
2004-05-07;15;69,39
2004-05-07;16;69,39
2004-05-07;17;69,35
2004-05-07;18;69,33
2004-05-07;19;69,30
2004-05-07;20;68,60
2004-05-07;21;68,49
2004-05-07;22;68,48
2004-05-07;23;43,77
2004-05-07;24;43,36
2004-05-08;1;28,84
2004-05-08;2;32,69
2004-05-08;3;32,70
2004-05-08;4;30,54
2004-05-08;5;30,46
2004-05-08;6;30,35
2004-05-08;7;31,09
2004-05-08;8;41,88
2004-05-08;9;50,03
2004-05-08;10;46,62
2004-05-08;11;49,01
2004-05-08;12;51,25
2004-05-08;13;45,34
2004-05-08;14;36,73
2004-05-08;15;27,80
2004-05-08;16;27,78
2004-05-08;17;27,53
2004-05-08;18;26,04
2004-05-08;19;30,48
2004-05-08;20;26,55
2004-05-08;21;27,62
2004-05-08;22;27,06
2004-05-08;23;25,45
2004-05-08;24;25,18
2004-05-09;1;25,52
2004-05-09;2;25,40
2004-05-09;3;25,22
2004-05-09;4;25,20
2004-05-09;5;25,20
2004-05-09;6;24,92
2004-05-09;7;24,65
2004-05-09;8;26,73
2004-05-09;9;26,77
2004-05-09;10;26,59
2004-05-09;11;27,88
2004-05-09;12;28,15
2004-05-09;13;26,42
2004-05-09;14;26,59
2004-05-09;15;26,78
2004-05-09;16;26,91
2004-05-09;17;26,48
2004-05-09;18;26,89
2004-05-09;19;27,73
2004-05-09;20;27,88
2004-05-09;21;27,16
2004-05-09;22;26,90
2004-05-09;23;25,22
2004-05-09;24;25,18
2004-05-10;1;25,53
2004-05-10;2;25,46
2004-05-10;3;24,86
2004-05-10;4;24,72
2004-05-10;5;24,72
2004-05-10;6;24,87
2004-05-10;7;24,72
2004-05-10;8;55,45
2004-05-10;9;63,53
2004-05-10;10;68,80
2004-05-10;11;68,41
2004-05-10;12;68,38
2004-05-10;13;68,56
2004-05-10;14;68,55
2004-05-10;15;69,38
2004-05-10;16;69,71
2004-05-10;17;69,05
2004-05-10;18;68,40
2004-05-10;19;68,78
2004-05-10;20;69,00
2004-05-10;21;69,59
2004-05-10;22;69,90
2004-05-10;23;47,75
2004-05-10;24;45,96
2004-05-11;1;25,07
2004-05-11;2;25,08
2004-05-11;3;24,70
2004-05-11;4;24,70
2004-05-11;5;24,76
2004-05-11;6;24,70
2004-05-11;7;24,64
2004-05-11;8;48,32
2004-05-11;9;59,07
2004-05-11;10;67,05
2004-05-11;11;60,85
2004-05-11;12;55,24
2004-05-11;13;68,69
2004-05-11;14;68,16
2004-05-11;15;66,52
2004-05-11;16;68,66
2004-05-11;17;68,14
2004-05-11;18;55,18
2004-05-11;19;44,49
2004-05-11;20;44,65
2004-05-11;21;44,77
2004-05-11;22;47,78
2004-05-11;23;29,47
2004-05-11;24;25,07
2004-05-12;1;35,77
2004-05-12;2;33,67
2004-05-12;3;32,89
2004-05-12;4;32,23
2004-05-12;5;33,78
2004-05-12;6;33,10
2004-05-12;7;29,78
2004-05-12;8;65,48
2004-05-12;9;66,13
2004-05-12;10;71,07
2004-05-12;11;71,35
2004-05-12;12;71,38
2004-05-12;13;71,03
2004-05-12;14;71,04
2004-05-12;15;71,11
2004-05-12;16;70,50
2004-05-12;17;71,14
2004-05-12;18;71,10
2004-05-12;19;70,35
2004-05-12;20;52,74
2004-05-12;21;71,13
2004-05-12;22;70,98
2004-05-12;23;49,78
2004-05-12;24;52,07
2004-05-13;1;27,66
2004-05-13;2;25,78
2004-05-13;3;28,04
2004-05-13;4;28,04
2004-05-13;5;25,86
2004-05-13;6;25,78
2004-05-13;7;27,99
2004-05-13;8;66,62
2004-05-13;9;66,01
2004-05-13;10;70,78
2004-05-13;11;70,98
2004-05-13;12;70,79
2004-05-13;13;70,98
2004-05-13;14;70,95
2004-05-13;15;70,99
2004-05-13;16;70,81
2004-05-13;17;71,38
2004-05-13;18;70,98
2004-05-13;19;70,64
2004-05-13;20;70,31
2004-05-13;21;70,24
2004-05-13;22;71,40
2004-05-13;23;37,46
2004-05-13;24;43,40
2004-05-14;1;31,40
2004-05-14;2;32,47
2004-05-14;3;33,31
2004-05-14;4;30,86
2004-05-14;5;32,22
2004-05-14;6;31,68
2004-05-14;7;29,00
2004-05-14;8;64,28
2004-05-14;9;64,96
2004-05-14;10;69,66
2004-05-14;11;69,69
2004-05-14;12;69,68
2004-05-14;13;69,85
2004-05-14;14;69,14
2004-05-14;15;69,61
2004-05-14;16;69,94
2004-05-14;17;69,47
2004-05-14;18;69,69
2004-05-14;19;69,82
2004-05-14;20;69,78
2004-05-14;21;69,77
2004-05-14;22;70,14
2004-05-14;23;45,74
2004-05-14;24;46,78
2004-05-15;1;27,26
2004-05-15;2;25,05
2004-05-15;3;24,82
2004-05-15;4;24,53
2004-05-15;5;24,53
2004-05-15;6;24,53
2004-05-15;7;24,54
2004-05-15;8;39,81
2004-05-15;9;41,55
2004-05-15;10;46,97
2004-05-15;11;52,49
2004-05-15;12;51,83
2004-05-15;13;46,21
2004-05-15;14;38,83
2004-05-15;15;31,50
2004-05-15;16;31,51
2004-05-15;17;31,29
